Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Kayaking: Whitewater and Touring Basics (A Trailside Guide),"By Krauzer, Steven M.","Norton proudly reissues these best-selling guides with fully revised ""Sources &  Resources"" sections (including where to  find the Web sites, gear, services, books,  clubs, and organizations that make for foolproof outings); updates to reflect the latest in gear  technology, wilderness medicine, and first aid;  and advances in techniques.You can take it  with you: Trailside Guides are designed to be  used on the trail. Their handy size makes them  easy to take along on outdoor  adventures.Picture this: Trailside Guides show  you how it's done. Each book has more than 100  color photographs and dozens of informative,  full-color technical illustrations you'll refer to again and again.Buying Guide: Each Guide has  all the information readers need to make  informed decisions about what gear is available, and what they should buy.Step-by-step: Tutorials take readers through every aspect of a given  outdoor activity. Each Guide covers planning and preparing for a trip, getting in shape,  technique, safety, and first-aid tips, and how  to have more fun along the way!Easy to use:  Trailside Guides provide information quickly.  Every book contains detailed illustrations,  information-packed sidebars, and a complete  index and bibliography.Technique tips: Any  physical activity is more fun when it's done  right. Trailside Guides are written by experts  and contain lucid explanations that help the  reader quickly achieve proficiency.It's a  big world out there. Get into it with the  Trailside Guides."," Sports & Recreation , Kayaking",W. W. Norton & Company,5.29,January,1995
My Country: The Story of Modern Israel,"By Eban, Abba Solomon",,,Random House,10.99,January,1972
Praying God's Will For Your Life: A Prayerful Walk To Spiritual Well Being,"By Omartian, Stormie","For years Stormie Omartian prayed the prayer, ""Change my husband, Lord.""  Then she realized that she had to pray for herself -and examine her own heart - before she could pray effectively for him.  Her prayer become, ""Change me, Lord.""  In this book, she presents that process for all wives who want the power to pray for themselves and their husbands.In the first six days readers consider how to develop or maintain an intimate relationship with the Father.  During the next six days they look at the Power Tools that feed this intimatPraying God's Will for Your Life is ideal for women who have read Stormie's bestselling books on prayer and want to move deeper into the power of prayer."," Religion , Christian Living , Prayer",Thomas Nelson,5.19,October,2001
The Good Black,"By Barrett, Paul M.","Follows the personal story of an African-American lawyer who rose from a Queens housing project to obtain a Harvard education and career in corporate law only to encounter the devastating setback of racial discrimination. 20,000 first printing. Tour."," Law , Discrimination",Dutton Adult,5.29,January,1999
"An Inquiry Concerning Human Understanding: With a Supplement, An Abstract of a Treatise of Human Nature",By David Hume,,,Bobbs-Merrill Educational Pub,5.29,January,1955
The Unfinished Constitution: Philosophy and Constitutional Practice,"By Arthur, John",," Social Science , General",Wadsworth Pub. Co,10.99,November,1988
"PARKER'S WINE BUYER'S GUIDE, 5TH EDITION : Complete, Easy-to-Use Reference on Recent Vintages, Prices, and Ratings for More Than 8,000 Wines from All the Major Wine Regions","By Parker, Robert M., Jr.","Thoroughly revised and updated, this fifth edition of the Parker's Wine Buyer's Guide has been eagerly awaited by seasoned collectors and occasional drinkers alike. No one wants to waste his or her precious dollars on an unenjoyable bottle, and with Parker's advice in hand, no one ever will. Employing his famous 100-point rating system, Parker rates more than 8,000 wines from all the major wine-producing regions in the world -- including Austria for the first time ever. Each wine producer is evaluated separately, and Parker's independence allows him to be completely honest in his opinions. In addition, the book includes other essential information such as how to buy and store wine, how to spot a badly stored and abused bottle, and how to find the best wine values for under $10."," Cooking , Reference",Simon & Schuster,9.89,December,1999
Artificial Intelligence: How Machines Think,"By Peat, F. David",,,Baen,5.95,January,1985
Communications and Networking for the IBM PC and Compatibles,"By Jordan, Larry E",Covers the fundamentals and applications of data communications on the IBM PC and explores the mechanics of communication hardware and software capabilities,,Brady Publishing,6.6,October,1987
The Macmillan Visual Desk Reference,By Diagram Group,"This general reference compiles an impressive amount of information, presented not only through text but also through 4,000 illustrations, diagrams, charts, maps, and timelines. In a welcome departure from the topically-diffused alphabetical format of most similar references, the  Macmillan  is organized thematically and is divided into eight major groupings: the physical world, science and technology, communications, history, the arts, religion and philosophy, body and health, and sports. Indexed (at the front) by topic, person, and key word or phrase. Annotation copyright Book News, Inc. Portland, Or.",,Macmillan Pub Co,7.93,November,1993
The standard wine cook book,"By Director, Anne",,,Doubleday,4.99,January,1948
"Tales Of Passion, Tales Of Woe","By Gulland, Sandra","Tales of Passion, Tales of Woe is the much-awaited sequel to Sandra Gulland's highly acclaimed first novel, The Many Lives & Secret Sorrows of Josephine B. Beginning in Paris in 1796, the saga continues as Josephine awakens to her new life as Mrs. Napoleon Bonaparte. Through her intimate diary entries and Napoleon's impassioned love letters, an astonishing portrait of an incredible woman emerges. Gulland transports us into the ballrooms and bedrooms of exquisite palaces and onto the blood-soaked fields of Napoleon's campaigns. As Napoleon marches to power, we witness, through Josephine, the political intrigues and personal betrayals -- both sexual and psychological -- that result in death, ruin, and victory for those closest to her."," Fiction , Historical , General",Scribner,5.29,November,1999
