Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
"Sherlock Holmes and the Red Demon by John H. Watson, M.D.","By Watson, John H. and Millett, Larry (EDT)","It is the story of how the world's most beloved private detective, Sherlock Holmes, and Watson traveled to Minnesota in 1894 to find and stop a murderous arsonist, known only as the Red Demon, who is threatening both Hill and his Great Northern Railway. Homes's pursuit of this malignant and cunning villain presents the great man ""with the most remarkable case of his celebrated career.""In Minnesota, Holmes comes face-to-face with all manner of frontier characters, including two-fisted railroad men, rough-and-tumble lumberjacks, a one-eyed teamster, and an unsavory town marshal. But he also encounters the proprietress of the North Woods' most opulent sporting house, Mary Robinson, a woman as clever as she is beautiful. In response to a churlish remark from Dr. Watson about the morality of her establishment, she replies: ""Morality is a matter of power, nothing more and nothing less. The rich impose it on the poor, men impose it on women, and the forces of reaction impose it upon those who seek a better world.""Needless to say, Holmes becomes especially attentive to this suspect's articulate charm. But charm gives way to terror in the exciting climax of the tale, a chase on the rails that ends with Holmes and the Red Demon squared off on a lonely bridge in a fiery circle of death. ""Never,"" says Watson, ""was Holmes more magnificent than at that moment."""," Fiction , Mystery & Detective , General",Viking,4.99,September,1996
"New Lands, New Men","By Goetzmann, William H.",Examines the adventures of the explorers during the seventeenth through the nineteenth centuries and shows how the impetus to explore transcended national interests and imperialist ambitions," Biography & Autobiography , Adventurers & Explorers",Viking Adult,10.99,October,1986
Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),"By Osborne, David and Gaebler, Ted",Describes how decentralization and entrepreneurship can revitalize government and outlines ten principles guiding an entrepreneurial public organization," Political Science , American Government , General",Plume,4.99,February,1993
Proverbs For The People,"By Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)","Featuring contributions from such noted writers as Pearl Cleage, Omar Tyree, Timmothy McCann, and Earl Sewell, a dramatically rendered anthology of stories, drawn from African, African-American, and Biblical proverbs, is filled with an abundance of wit, inspiration, and wisdom."," Fiction , Anthologies (multiple authors)",Kensington,5.88,June,2003
Great American Countryside,"By Landi, Val",," Travel , United States , General",Scribner,10.99,July,1982
Rob Whitlock: A Pioneer Boy in Old Ohio,"By Jackson, Kathryn",,,Simon and Schuster,12.51,January,1951
British Hospitals (Britain in Pictures),By A. G. L. Ives,,,London : Collins,18,January,1948
An essay on morals,"By Wylie, Philip",,,"Rinehart & Company, Inc",4.99,January,1947
"Kid, You Sing My Songs of Love, and Loss, and Hope","By Wyse, Lois and Rogers, Lilla (ILT)",," Humor , Form , Limericks & Verse",Crown,5.29,February,1991
Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,"By Naisbitt, John and Aburdene, Patricia",Describes how the new information society is altering the nature of the workplace and how some corporations are responding," Business & Economics , General",Little Brown & Co,5.29,September,1985
A Sister Is Forever: A Blue Mountain Arts Collection for One of the Most Beautiful People You'll Ever Know,"By Morris, Gary (EDT) and Blue Mountain Arts Collection (COR)",," Family & Relationships , Siblings",Blue Mountain Arts,4.99,September,2002
The Practical Stylist,"By Baker, Sheridan Warner",,,Crowell,4.99,January,1973
The Periodic Kingdom: A Journey Into The Land Of The Chemical Elements (Science Masters Series),"By Atkins, P. W.",," Science , Applied Sciences",Basic Books,4.99,July,1995
Titanic,"By Kirkland, Douglas, Marsh, Ed W., and Kirkland, Douglas (PHT)",," Performing Arts , Film , General",Harper Paperbacks,8.79,October,1997
A Woman of Egypt,"By Sadat, Jehan",," Biography & Autobiography , Presidents & Heads of State",Simon & Schuster,8.79,August,1987
Civilization III: Instruction Manual,"By Meier, Sid",,,Infogames Interactive,4.99,January,2001
"Alcatraz '46;: The anatomy of a classic prison tragedy,","By Don DeNevi, Philip Bergen",,,Leswing Press,5.29,January,1974
Elvis in the Morning,"By Buckley, William F.","This is a novel about friendship, a novel that spans the decades that changed America forever. Orson is a young boy whose mother works at a U.S. Army base in Germany in the 1950s. There, he becomes a fan of a G.I. stationed at the base, one Elvis Presley, whose music is played over and over on the radio. When Orson is caught stealing recordings of Elvis's tunes from the PX, the attendant publicity catches the star's attention, and he comes to visit his young fan. Thus begins a lifelong friendship. As Elvis's career rockets ever higher and his behavior becomes ever more erratic, the two share many adventures. The sixties explode, and Elvis becomes the icon of the nation, while Orson, a college demonstrator, drifts away from regular life while looking for something of substance to believe in. Each man is an emblem of his time, as social conventions crumble, barriers fall, and the cultural landscape changes forever.A panorama of change and dissent, of the ability of friends to stay true despite distance and time, Elvis in the Morning portrays a nation in change and the effects of celebrity on innocence."," Fiction , Fantasy , Historical",Harvest Books,5.29,June,2002
"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer","By Mirkin, Gabe and Rich, Diana","A collection of 250 appetizing, meatless recipes provides a plan that lowers cholesterol and reduces the risk of heart disease, cancer, and diabetes by cutting down on fat intake without compromising on taste and variety. 35,000 first printing. Tour."," Health & Fitness , Diet & Nutrition , Diets",Little Brown & Co,4.99,January,1995
White Gold Wielder - Book Three of The Second Chronicles of Thomas Covenant,"By Donaldson, Stephen R.",," Fiction , Fantasy , General",Del Rey,4.99,March,1983
From Image to Likeness: A Jungian Path in the Gospel Journey,"By Grant, W. Harold, Thompson, Magdala, and Clarke, Thomas E.",," Psychology , Movements , Jungian",Paulist Press,4.99,January,1983
ON THE WING: The Life of Birds: From Feathers to Flight,"By Brooks, Bruce",Takes a close-up look at the remarkable physiology and behavior of birds," Science , General",Scribner,19.25,September,1989
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"By Mezrich, Ben","The #1 national bestseller, now a major motion picture, 21—the amazing inside story about a gambling ring of M.I.T. students who beat the system in Vegas—and lived to tell how.Robin Hood meets the Rat Pack when the best and the brightest of M.I.T.’s math students and engineers take up blackjack under the guidance of an eccentric mastermind. Their small blackjack club develops from an experiment in counting cards on M.I.T.’s campus into a ring of card savants with a system for playing large and winning big. In less than two years they take some of the world’s most sophisticated casinos for more than three million dollars. But their success also brings with it the formidable ire of casino owners and launches them into the seedy underworld of corporate Vegas with its private investigators and other violent heavies."," Games & Activities , Gambling , Table",Atria,4.99,September,2003
Future Space: Beyond Earth,"By Quigley, Sebastian (ILT) and Jefferis, David",,,Tangerine Pr,5.29,June,2001
"The young Jefferson, 1743-1789,","By Bowers, Claude Gernade",,,Houghton Mifflin Company,5.29,January,1945
"Mayo Clinic On Hearing: Strategies for Managing Hearing Loss, Dizziness and Other Ear Problems (""MAYO CLINIC ON"" SERIES)","By Olsen, Wayne, Ph.D. (EDT)",," Health & Fitness , Hearing & Speech",Kensington Pub Corp,5.29,October,2003
